Participant_ID,Presented_Stimulus,Mental_Complexity,Distraction_Given,Key_Pressed,Right_Key_Chosen,Reaction_Time,Timestamp
4,2 + 3 = 5,P,N,f,True,1.4446465969085693,2019-05-10 06:45:48.284799
4,Blue Rectangle,A,D,f,True,0.5693161487579346,2019-05-10 06:45:49.856812
4,9 + 3 = -14,P,D,j,True,1.797065019607544,2019-05-10 06:45:52.656400
4,Red Rectangle,A,N,j,True,0.6676008701324463,2019-05-10 06:45:54.327071
4,8 + 7 = -2,P,N,j,True,1.4984395503997803,2019-05-10 06:45:56.827250
4,Blue Rectangle,A,D,f,True,1.0078537464141846,2019-05-10 06:45:58.836450
4,7 * 4 = 28,P,D,f,True,2.2660601139068604,2019-05-10 06:46:02.104541
4,Blue Rectangle,A,N,f,True,0.7697861194610596,2019-05-10 06:46:03.876219
4,8 * 4 = 32,P,N,f,True,3.2151591777801514,2019-05-10 06:46:08.093187
4,Red Rectangle,A,D,j,True,0.7774763107299805,2019-05-10 06:46:09.872308
4,4 - 2 = 2,P,D,f,True,2.9058165550231934,2019-05-10 06:46:13.779308
4,Blue Rectangle,A,N,f,True,0.6703503131866455,2019-05-10 06:46:15.451104
4,5 * 2 = 2,P,N,j,True,1.9579799175262451,2019-05-10 06:46:18.410604
4,Blue Rectangle,A,D,f,True,0.8330438137054443,2019-05-10 06:46:20.244926
4,5 - 1 = 15,P,D,j,True,2.065073013305664,2019-05-10 06:46:23.312042
4,Red Rectangle,A,N,j,True,0.7334544658660889,2019-05-10 06:46:25.047373
4,3 - 1 = 2,P,N,f,True,1.6807756423950195,2019-05-10 06:46:27.729912
4,Red Rectangle,A,D,j,True,0.5724692344665527,2019-05-10 06:46:29.304342
